553617527	1
553601207	2
553633847	3
553593047	4
553625687	5
553609367	6
553642007	7
553588967	8	
553621607	9
553613447	refresh
553584887	0
553619567	FAV
553605287	menu
553597127	exit
553637927	epg
553629767	i
553582847	navUP
553599167	navRight
553615487	navDown
553631807	nacLeft
553646087	navOK
553642517	V+
553589477	V-
553591007	tel/muz
553613957	sat
553626197	P+
553609877	P-
553635887	F1
553627727	F2
553611407	F3
553644047	F4
553623647	vol?
553639967	align_bottom
553640477	text
553607327	pauze
553632317	UHF
553586927	sat
553583357	M1
553599677	N/P
553591517	Timer
553603247	POWER
553595087	Mute

